"country","indicator","year","value","units"
"Niger","4.2 Which sectors are actively involved in developing and implementing the AMR National Action Plan- [Food Production]","unknown","Yes","none"
"Niger","4.2 Which sectors are actively involved in developing and implementing the AMR National Action Plan- [Environment]","unknown","Yes","none"
"Niger","5.1 Country progress with development of a national action plan on AMR","unknown","C - National AMR action plan developed.","none"
"Niger","5.2 Is your countrys national action plan on AMR linked to any other existing action plans, strategies or targets related to - [Malaria]","unknown","Yes","none"
"Niger","5.3 If you have published your AMR national action plan, please insert a link here.","unknown",NA,"none"
"Niger","5.4 Country legislations on antimicrobial use [Country has laws or regulations that prohibits the use of antibiotics for growth promotion in the absence of risk analysis.]","unknown","No","none"
"Niger","5.4 Country legislations on antimicrobial use [Country has legislation on marketing of pesticides including antimicrobial pesticides, such as bactericides and fungicides used in plant production.]","unknown","Yes","none"
"Niger","6.1 Raising awareness and understanding of AMR risks and response","unknown","B - Some activities in parts of the country to raise awareness about risks of antimicrobial resistance and actions that can be taken to address it.","none"
"Niger","6.1.1 For the level selected above, please indicate the extent of involvement of the sectors below. [Animal Health (terrestrial and aquatic)]","unknown","Some activities done in this sector","none"
"Niger","6.3 Training and professional education on AMR in the veterinary sector","unknown","B - Ad hoc AMR training courses available for veterinary related professionals.","none"
"Niger","6.5 Progress with strengthening veterinary services","unknown","B - Veterinary services assessed and plans developed to improve capacity, through a structured approach such as OIE Performance of Veterinary Services (PVS) Evaluation and PVS Gap Analysis missions.","none"
"Niger","7.2 National monitoring system for antimicrobials intended to be used in animals (terrestrial and aquatic) (sales/use)","unknown","A - No national plan or system for monitoring sales/use of antimicrobials in animals.","none"
"Niger","7.5 (b) AMR surveillance is routinely undertaken in animals for the following categories: [Animal (terrestrial and/or aquatic) isolates linked to animal disease.]","unknown","N/A","none"
"Niger","7.5 (b) AMR surveillance is routinely undertaken in animals for the following categories: [Zoonotic pathogenic bacteria]","unknown","N/A","none"
"Niger","8.2 Good health, management and hygiene practices to reduce the use of antimicrobials and minimize development and transmission of AMR in animal production (terrestrial and aquatic)","unknown","B - Some activities in place to develop and promote good production practices.","none"
"Niger","9.2 Optimizing antimicrobial use in animal health (terrestrial and aquatic)","unknown","A - No national policy or legislation regarding the quality, safety and efficacy of antimicrobial products, and their distribution, sale or use.","none"
"Niger","10. National assessment of risks for AMR transmission in the environment and pollution control. Legislation and/or regulations to prevent contamination of the environment with antimicrobials [Discharges from intensive animal (terrestrial and aquatic) production (liquid waste and manure) a) disposal into the environment][Are risk reduction actions underway-]","unknown",NA,"none"
"Burundi","4.1 Multi-sector and One Health collaboration/coordination","unknown","B - Multi-sectoral working group(s) or coordination committee on AMR established with Government leadership.","none"
"Burundi","4.2 Which sectors are actively involved in developing and implementing the AMR National Action Plan- [Food Production]","unknown","No","none"
"Burundi","4.2 Which sectors are actively involved in developing and implementing the AMR National Action Plan- [Environment]","unknown","Yes","none"
"Burundi","5.1 Country progress with development of a national action plan on AMR","unknown","C - National AMR action plan developed.","none"
"Burundi","5.2 Is your countrys national action plan on AMR linked to any other existing action plans, strategies or targets related to - [Malaria]","unknown","Yes","none"
"Burundi","5.3 If you have published your AMR national action plan, please insert a link here.","unknown",NA,"none"
"Burundi","5.4 Country legislations on antimicrobial use [Country has laws or regulations that prohibits the use of antibiotics for growth promotion in the absence of risk analysis.]","unknown","Don't Know","none"
"Burundi","5.4 Country legislations on antimicrobial use [Country has legislation on marketing of pesticides including antimicrobial pesticides, such as bactericides and fungicides used in plant production.]","unknown","Yes","none"
"Burundi","6.1 Raising awareness and understanding of AMR risks and response","unknown","D - Nationwide, government-supported antimicrobial resistance awareness campaign targeting all or the majority of priority stakeholder groups, based on stakeholder analysis, utilizing targeted messaging accordingly within sectors.","none"
"Burundi","6.1.1 For the level selected above, please indicate the extent of involvement of the sectors below. [Animal Health (terrestrial and aquatic)]","unknown","This sector not involved","none"
"Burundi","6.3 Training and professional education on AMR in the veterinary sector","unknown","B - Ad hoc AMR training courses available for veterinary related professionals.","none"
"Burundi","6.5 Progress with strengthening veterinary services","unknown","A - No systematic approach at national level to strengthening Veterinary Services.","none"
"Burundi","7.2 National monitoring system for antimicrobials intended to be used in animals (terrestrial and aquatic) (sales/use)","unknown","A - No national plan or system for monitoring sales/use of antimicrobials in animals.","none"
"Burundi","7.5 (b) AMR surveillance is routinely undertaken in animals for the following categories: [Animal (terrestrial and/or aquatic) isolates linked to animal disease.]","unknown","N/A","none"
"Burundi","7.5 (b) AMR surveillance is routinely undertaken in animals for the following categories: [Zoonotic pathogenic bacteria]","unknown","N/A","none"
"Burundi","8.2 Good health, management and hygiene practices to reduce the use of antimicrobials and minimize development and transmission of AMR in animal production (terrestrial and aquatic)","unknown","A - No systematic efforts to improve good production practices.","none"
"Burundi","9.2 Optimizing antimicrobial use in animal health (terrestrial and aquatic)","unknown","A - No national policy or legislation regarding the quality, safety and efficacy of antimicrobial products, and their distribution, sale or use.","none"
"Burundi","10. National assessment of risks for AMR transmission in the environment and pollution control. Legislation and/or regulations to prevent contamination of the environment with antimicrobials [Discharges from intensive animal (terrestrial and aquatic) production (liquid waste and manure) a) disposal into the environment][Are risk reduction actions underway-]","unknown","No","none"
"Kenya","4.1 Multi-sector and One Health collaboration/coordination","unknown","C - Multi-sectoral working group(s) is (are) functional, with clear terms of reference, regular meetings, and funding for working group(s) with activities and reporting/accountability arrangements defined.","none"
"Kenya","4.2 Which sectors are actively involved in developing and implementing the AMR National Action Plan- [Food Production]","unknown","No","none"
"Kenya","4.2 Which sectors are actively involved in developing and implementing the AMR National Action Plan- [Environment]","unknown","No","none"
"Kenya","5.1 Country progress with development of a national action plan on AMR","unknown","D - National AMR action plan approved by government that reflects Global Action Plan objectives, with a budgeted operational plan and monitoring arrangements.","none"
"Kenya","5.2 Is your countrys national action plan on AMR linked to any other existing action plans, strategies or targets related to - [Malaria]","unknown","No","none"
"Kenya","5.3 If you have published your AMR national action plan, please insert a link here.","unknown",NA,"none"
"Kenya","5.4 Country legislations on antimicrobial use [Country has laws or regulations that prohibits the use of antibiotics for growth promotion in the absence of risk analysis.]","unknown","No","none"
"Kenya","5.4 Country legislations on antimicrobial use [Country has legislation on marketing of pesticides including antimicrobial pesticides, such as bactericides and fungicides used in plant production.]","unknown","Yes","none"
"Kenya","6.1 Raising awareness and understanding of AMR risks and response","unknown","D - Nationwide, government-supported antimicrobial resistance awareness campaign targeting all or the majority of priority stakeholder groups, based on stakeholder analysis, utilizing targeted messaging accordingly within sectors.","none"
"Kenya","6.1.1 For the level selected above, please indicate the extent of involvement of the sectors below. [Animal Health (terrestrial and aquatic)]","unknown","This sector is a main focus for activities","none"
"Kenya","6.3 Training and professional education on AMR in the veterinary sector","unknown","D - Continuing professional training on antimicrobial resistance and antimicrobial use is available nationwide for veterinary related professionals.","none"
"Kenya","6.5 Progress with strengthening veterinary services","unknown","D - Monitoring of Veterinary Services performance carried out regularly, e.g. through PVS Evaluation Follow Up missions.","none"
"Kenya","7.2 National monitoring system for antimicrobials intended to be used in animals (terrestrial and aquatic) (sales/use)","unknown","B - Plan agreed for monitoring quantities of antimicrobials sold for/used in animals, based on OIE standards.10","none"
"Kenya","7.5 (b) AMR surveillance is routinely undertaken in animals for the following categories: [Animal (terrestrial and/or aquatic) isolates linked to animal disease.]","unknown","N/A","none"
"Kenya","7.5 (b) AMR surveillance is routinely undertaken in animals for the following categories: [Zoonotic pathogenic bacteria]","unknown","N/A","none"
"Kenya","8.2 Good health, management and hygiene practices to reduce the use of antimicrobials and minimize development and transmission of AMR in animal production (terrestrial and aquatic)","unknown","C - National plan agreed to ensure good production practices in line with international standards (e.g. OIE Terrestrial and Aquatic Codes, Codex Alimentarius). Nationally agreed guidance for good production practices developed, adapted for implementation at local farm and food production level.","none"
"Kenya","9.2 Optimizing antimicrobial use in animal health (terrestrial and aquatic)","unknown","C - National legislation covers all aspects of national manufacture, import, marketing authorization, control of safety, quality and efficacy and distribution of antimicrobial products.","none"
"Kenya","10. National assessment of risks for AMR transmission in the environment and pollution control. Legislation and/or regulations to prevent contamination of the environment with antimicrobials [Discharges from intensive animal (terrestrial and aquatic) production (liquid waste and manure) a) disposal into the environment][Are risk reduction actions underway-]","unknown",NA,"none"
"Cote d'Ivoire","4.1 Multi-sector and One Health collaboration/coordination","unknown","B - Multi-sectoral working group(s) or coordination committee on AMR established with Government leadership.","none"
"Cote d'Ivoire","4.2 Which sectors are actively involved in developing and implementing the AMR National Action Plan- [Food Production]","unknown","No","none"
"Cote d'Ivoire","4.2 Which sectors are actively involved in developing and implementing the AMR National Action Plan- [Environment]","unknown","Yes","none"
"Cote d'Ivoire","5.1 Country progress with development of a national action plan on AMR","unknown","C - National AMR action plan developed.","none"
"Cote d'Ivoire","5.2 Is your countrys national action plan on AMR linked to any other existing action plans, strategies or targets related to - [Malaria]","unknown","Yes","none"
"Cote d'Ivoire","5.3 If you have published your AMR national action plan, please insert a link here.","unknown","N/A","none"
"Cote d'Ivoire","5.4 Country legislations on antimicrobial use [Country has laws or regulations that prohibits the use of antibiotics for growth promotion in the absence of risk analysis.]","unknown","No","none"
"Cote d'Ivoire","5.4 Country legislations on antimicrobial use [Country has legislation on marketing of pesticides including antimicrobial pesticides, such as bactericides and fungicides used in plant production.]","unknown","Yes","none"
"Cote d'Ivoire","6.1 Raising awareness and understanding of AMR risks and response","unknown","B - Some activities in parts of the country to raise awareness about risks of antimicrobial resistance and actions that can be taken to address it.","none"
"Cote d'Ivoire","6.1.1 For the level selected above, please indicate the extent of involvement of the sectors below. [Animal Health (terrestrial and aquatic)]","unknown","Some activities done in this sector","none"
"Cote d'Ivoire","6.3 Training and professional education on AMR in the veterinary sector","unknown","B - Ad hoc AMR training courses available for veterinary related professionals.","none"
"Cote d'Ivoire","6.5 Progress with strengthening veterinary services","unknown","B - Veterinary services assessed and plans developed to improve capacity, through a structured approach such as OIE Performance of Veterinary Services (PVS) Evaluation and PVS Gap Analysis missions.","none"
"Cote d'Ivoire","7.2 National monitoring system for antimicrobials intended to be used in animals (terrestrial and aquatic) (sales/use)","unknown","C - Data collected and reported on total quantity of antimicrobials sold for/used in animals and their intended type of use (therapeutic or growth promotion).","none"
"Cote d'Ivoire","7.5 (b) AMR surveillance is routinely undertaken in animals for the following categories: [Animal (terrestrial and/or aquatic) isolates linked to animal disease.]","unknown","Yes","none"
"Cote d'Ivoire","7.5 (b) AMR surveillance is routinely undertaken in animals for the following categories: [Zoonotic pathogenic bacteria]","unknown","Yes","none"
"Cote d'Ivoire","8.2 Good health, management and hygiene practices to reduce the use of antimicrobials and minimize development and transmission of AMR in animal production (terrestrial and aquatic)","unknown","B - Some activities in place to develop and promote good production practices.","none"
"Cote d'Ivoire","9.2 Optimizing antimicrobial use in animal health (terrestrial and aquatic)","unknown","C - National legislation covers all aspects of national manufacture, import, marketing authorization, control of safety, quality and efficacy and distribution of antimicrobial products.","none"
"Cote d'Ivoire","10. National assessment of risks for AMR transmission in the environment and pollution control. Legislation and/or regulations to prevent contamination of the environment with antimicrobials [Discharges from intensive animal (terrestrial and aquatic) production (liquid waste and manure) a) disposal into the environment][Are risk reduction actions underway-]","unknown","No","none"
"Sierra Leone","4.1 Multi-sector and One Health collaboration/coordination","unknown","B - Multi-sectoral working group(s) or coordination committee on AMR established with Government leadership.","none"
"Sierra Leone","4.2 Which sectors are actively involved in developing and implementing the AMR National Action Plan- [Food Production]","unknown","No","none"
"Sierra Leone","4.2 Which sectors are actively involved in developing and implementing the AMR National Action Plan- [Environment]","unknown","Yes","none"
"Sierra Leone","5.1 Country progress with development of a national action plan on AMR","unknown","D - National AMR action plan approved by government that reflects Global Action Plan objectives, with a budgeted operational plan and monitoring arrangements.","none"
"Sierra Leone","5.2 Is your countrys national action plan on AMR linked to any other existing action plans, strategies or targets related to - [Malaria]","unknown","No","none"
"Sierra Leone","5.3 If you have published your AMR national action plan, please insert a link here.","unknown","https://www.who.int/antimicrobial-resistance/national-action-plans/library/en/","none"
"Sierra Leone","5.4 Country legislations on antimicrobial use [Country has laws or regulations that prohibits the use of antibiotics for growth promotion in the absence of risk analysis.]","unknown","No","none"
"Sierra Leone","5.4 Country legislations on antimicrobial use [Country has legislation on marketing of pesticides including antimicrobial pesticides, such as bactericides and fungicides used in plant production.]","unknown","No","none"
"Sierra Leone","6.1 Raising awareness and understanding of AMR risks and response","unknown","B - Some activities in parts of the country to raise awareness about risks of antimicrobial resistance and actions that can be taken to address it.","none"
"Sierra Leone","6.1.1 For the level selected above, please indicate the extent of involvement of the sectors below. [Animal Health (terrestrial and aquatic)]","unknown","Some activities done in this sector","none"
"Sierra Leone","6.3 Training and professional education on AMR in the veterinary sector","unknown","B - Ad hoc AMR training courses available for veterinary related professionals.","none"
"Sierra Leone","6.5 Progress with strengthening veterinary services","unknown","C - Implementation of plan to strengthen capacity gaps in Veterinary Services underway.","none"
"Sierra Leone","7.2 National monitoring system for antimicrobials intended to be used in animals (terrestrial and aquatic) (sales/use)","unknown","A - No national plan or system for monitoring sales/use of antimicrobials in animals.","none"
"Sierra Leone","7.5 (b) AMR surveillance is routinely undertaken in animals for the following categories: [Animal (terrestrial and/or aquatic) isolates linked to animal disease.]","unknown","N/A","none"
"Sierra Leone","7.5 (b) AMR surveillance is routinely undertaken in animals for the following categories: [Zoonotic pathogenic bacteria]","unknown","N/A","none"
"Sierra Leone","8.2 Good health, management and hygiene practices to reduce the use of antimicrobials and minimize development and transmission of AMR in animal production (terrestrial and aquatic)","unknown","A - No systematic efforts to improve good production practices.","none"
"Sierra Leone","9.2 Optimizing antimicrobial use in animal health (terrestrial and aquatic)","unknown","A - No national policy or legislation regarding the quality, safety and efficacy of antimicrobial products, and their distribution, sale or use.","none"
"Sierra Leone","10. National assessment of risks for AMR transmission in the environment and pollution control. Legislation and/or regulations to prevent contamination of the environment with antimicrobials [Discharges from intensive animal (terrestrial and aquatic) production (liquid waste and manure) a) disposal into the environment][Are risk reduction actions underway-]","unknown","No","none"
"Democratic Republic of the Congo","4.1 Multi-sector and One Health collaboration/coordination","unknown","B - Multi-sectoral working group(s) or coordination committee on AMR established with Government leadership.","none"
"Democratic Republic of the Congo","4.2 Which sectors are actively involved in developing and implementing the AMR National Action Plan- [Food Production]","unknown","Yes","none"
"Democratic Republic of the Congo","4.2 Which sectors are actively involved in developing and implementing the AMR National Action Plan- [Environment]","unknown","Yes","none"
"Democratic Republic of the Congo","5.1 Country progress with development of a national action plan on AMR","unknown","C - National AMR action plan developed.","none"
"Democratic Republic of the Congo","5.2 Is your countrys national action plan on AMR linked to any other existing action plans, strategies or targets related to - [Malaria]","unknown","Yes","none"
"Democratic Republic of the Congo","5.3 If you have published your AMR national action plan, please insert a link here.","unknown",NA,"none"
"Democratic Republic of the Congo","5.4 Country legislations on antimicrobial use [Country has laws or regulations that prohibits the use of antibiotics for growth promotion in the absence of risk analysis.]","unknown","No","none"
"Democratic Republic of the Congo","5.4 Country legislations on antimicrobial use [Country has legislation on marketing of pesticides including antimicrobial pesticides, such as bactericides and fungicides used in plant production.]","unknown","Yes","none"
"Democratic Republic of the Congo","6.1 Raising awareness and understanding of AMR risks and response","unknown","B - Some activities in parts of the country to raise awareness about risks of antimicrobial resistance and actions that can be taken to address it.","none"
"Democratic Republic of the Congo","6.1.1 For the level selected above, please indicate the extent of involvement of the sectors below. [Animal Health (terrestrial and aquatic)]","unknown","Some activities done in this sector","none"
"Democratic Republic of the Congo","6.3 Training and professional education on AMR in the veterinary sector","unknown","C - AMR and prudent use of antimicrobial agents are covered in core curricula for graduating veterinarians and for veterinary paraprofessionals in some educational institutions.","none"
"Democratic Republic of the Congo","6.5 Progress with strengthening veterinary services","unknown","B - Veterinary services assessed and plans developed to improve capacity, through a structured approach such as OIE Performance of Veterinary Services (PVS) Evaluation and PVS Gap Analysis missions.","none"
"Democratic Republic of the Congo","7.2 National monitoring system for antimicrobials intended to be used in animals (terrestrial and aquatic) (sales/use)","unknown","B - Plan agreed for monitoring quantities of antimicrobials sold for/used in animals, based on OIE standards.10","none"
"Democratic Republic of the Congo","7.5 (b) AMR surveillance is routinely undertaken in animals for the following categories: [Animal (terrestrial and/or aquatic) isolates linked to animal disease.]","unknown","N/A","none"
"Democratic Republic of the Congo","7.5 (b) AMR surveillance is routinely undertaken in animals for the following categories: [Zoonotic pathogenic bacteria]","unknown","N/A","none"
"Democratic Republic of the Congo","8.2 Good health, management and hygiene practices to reduce the use of antimicrobials and minimize development and transmission of AMR in animal production (terrestrial and aquatic)","unknown","B - Some activities in place to develop and promote good production practices.","none"
"Democratic Republic of the Congo","9.2 Optimizing antimicrobial use in animal health (terrestrial and aquatic)","unknown","B - National legislation covers some aspects of national manufacture, import, marketing authorization, control of safety, quality and efficacy and distribution of antimicrobial products.","none"
"Democratic Republic of the Congo","10. National assessment of risks for AMR transmission in the environment and pollution control. Legislation and/or regulations to prevent contamination of the environment with antimicrobials [Discharges from intensive animal (terrestrial and aquatic) production (liquid waste and manure) a) disposal into the environment][Are risk reduction actions underway-]","unknown","No","none"
"Libya","4.1 Multi-sector and One Health collaboration/coordination","unknown","D - Joint working on issues including agreement on common objectives.","none"
"Libya","4.2 Which sectors are actively involved in developing and implementing the AMR National Action Plan- [Food Production]","unknown","No","none"
"Libya","4.2 Which sectors are actively involved in developing and implementing the AMR National Action Plan- [Environment]","unknown","No","none"
"Libya","5.1 Country progress with development of a national action plan on AMR","unknown","D - National AMR action plan approved by government that reflects Global Action Plan objectives, with a budgeted operational plan and monitoring arrangements.","none"
"Libya","5.2 Is your countrys national action plan on AMR linked to any other existing action plans, strategies or targets related to - [Malaria]","unknown","No","none"
"Libya","5.3 If you have published your AMR national action plan, please insert a link here.","unknown",NA,"none"
"Libya","5.4 Country legislations on antimicrobial use [Country has laws or regulations that prohibits the use of antibiotics for growth promotion in the absence of risk analysis.]","unknown","No","none"
"Libya","5.4 Country legislations on antimicrobial use [Country has legislation on marketing of pesticides including antimicrobial pesticides, such as bactericides and fungicides used in plant production.]","unknown","No","none"
"Libya","6.1 Raising awareness and understanding of AMR risks and response","unknown","C - Limited or small-scale antimicrobial resistance awareness campaign targeting some but not all relevant stakeholders.","none"
"Libya","6.1.1 For the level selected above, please indicate the extent of involvement of the sectors below. [Animal Health (terrestrial and aquatic)]","unknown","This sector is a main focus for activities","none"
"Libya","6.3 Training and professional education on AMR in the veterinary sector","unknown","C - AMR and prudent use of antimicrobial agents are covered in core curricula for graduating veterinarians and for veterinary paraprofessionals in some educational institutions.","none"
"Libya","6.5 Progress with strengthening veterinary services","unknown","A - No systematic approach at national level to strengthening Veterinary Services.","none"
"Libya","7.2 National monitoring system for antimicrobials intended to be used in animals (terrestrial and aquatic) (sales/use)","unknown","A - No national plan or system for monitoring sales/use of antimicrobials in animals.","none"
"Libya","7.5 (b) AMR surveillance is routinely undertaken in animals for the following categories: [Animal (terrestrial and/or aquatic) isolates linked to animal disease.]","unknown","N/A","none"
"Libya","7.5 (b) AMR surveillance is routinely undertaken in animals for the following categories: [Zoonotic pathogenic bacteria]","unknown","N/A","none"
"Libya","8.2 Good health, management and hygiene practices to reduce the use of antimicrobials and minimize development and transmission of AMR in animal production (terrestrial and aquatic)","unknown","B - Some activities in place to develop and promote good production practices.","none"
"Libya","9.2 Optimizing antimicrobial use in animal health (terrestrial and aquatic)","unknown","B - National legislation covers some aspects of national manufacture, import, marketing authorization, control of safety, quality and efficacy and distribution of antimicrobial products.","none"
"Libya","10. National assessment of risks for AMR transmission in the environment and pollution control. Legislation and/or regulations to prevent contamination of the environment with antimicrobials [Discharges from intensive animal (terrestrial and aquatic) production (liquid waste and manure) a) disposal into the environment][Are risk reduction actions underway-]","unknown","No","none"
"Djibouti","4.1 Multi-sector and One Health collaboration/coordination","unknown","A - No formal multi-sectoral governance or coordination mechanism on AMR exists.","none"
"Djibouti","4.2 Which sectors are actively involved in developing and implementing the AMR National Action Plan- [Food Production]","unknown","No","none"
"Djibouti","4.2 Which sectors are actively involved in developing and implementing the AMR National Action Plan- [Environment]","unknown","No","none"
"Djibouti","5.1 Country progress with development of a national action plan on AMR","unknown","A - No national AMR action plan.","none"
"Djibouti","5.2 Is your countrys national action plan on AMR linked to any other existing action plans, strategies or targets related to - [Malaria]","unknown","No","none"
"Djibouti","5.3 If you have published your AMR national action plan, please insert a link here.","unknown",NA,"none"
"Djibouti","5.4 Country legislations on antimicrobial use [Country has laws or regulations that prohibits the use of antibiotics for growth promotion in the absence of risk analysis.]","unknown","No","none"
"Djibouti","5.4 Country legislations on antimicrobial use [Country has legislation on marketing of pesticides including antimicrobial pesticides, such as bactericides and fungicides used in plant production.]","unknown","No","none"
"Djibouti","6.1 Raising awareness and understanding of AMR risks and response","unknown","A - No significant awareness-raising activities on relevant aspects of risks of antimicrobial resistance.","none"
"Djibouti","6.1.1 For the level selected above, please indicate the extent of involvement of the sectors below. [Animal Health (terrestrial and aquatic)]","unknown","This sector not involved","none"
"Djibouti","6.3 Training and professional education on AMR in the veterinary sector","unknown","A - No training of veterinary related professionals (veterinarians and veterinary paraprofessionals) related to AMR.","none"
"Djibouti","6.5 Progress with strengthening veterinary services","unknown","A - No systematic approach at national level to strengthening Veterinary Services.","none"
"Djibouti","7.2 National monitoring system for antimicrobials intended to be used in animals (terrestrial and aquatic) (sales/use)","unknown","A - No national plan or system for monitoring sales/use of antimicrobials in animals.","none"
"Djibouti","7.5 (b) AMR surveillance is routinely undertaken in animals for the following categories: [Animal (terrestrial and/or aquatic) isolates linked to animal disease.]","unknown","N/A","none"
"Djibouti","7.5 (b) AMR surveillance is routinely undertaken in animals for the following categories: [Zoonotic pathogenic bacteria]","unknown","N/A","none"
"Djibouti","8.2 Good health, management and hygiene practices to reduce the use of antimicrobials and minimize development and transmission of AMR in animal production (terrestrial and aquatic)","unknown","A - No systematic efforts to improve good production practices.","none"
"Djibouti","9.2 Optimizing antimicrobial use in animal health (terrestrial and aquatic)","unknown","A - No national policy or legislation regarding the quality, safety and efficacy of antimicrobial products, and their distribution, sale or use.","none"
"Djibouti","10. National assessment of risks for AMR transmission in the environment and pollution control. Legislation and/or regulations to prevent contamination of the environment with antimicrobials [Discharges from intensive animal (terrestrial and aquatic) production (liquid waste and manure) a) disposal into the environment][Are risk reduction actions underway-]","unknown","No","none"
"Burkina Faso","4.1 Multi-sector and One Health collaboration/coordination","unknown","B - Multi-sectoral working group(s) or coordination committee on AMR established with Government leadership.","none"
"Burkina Faso","4.2 Which sectors are actively involved in developing and implementing the AMR National Action Plan- [Food Production]","unknown","Yes","none"
"Burkina Faso","4.2 Which sectors are actively involved in developing and implementing the AMR National Action Plan- [Environment]","unknown","Yes","none"
"Burkina Faso","5.1 Country progress with development of a national action plan on AMR","unknown","B - National AMR action plan under development.","none"
"Burkina Faso","5.2 Is your countrys national action plan on AMR linked to any other existing action plans, strategies or targets related to - [Malaria]","unknown","No","none"
"Burkina Faso","5.3 If you have published your AMR national action plan, please insert a link here.","unknown",NA,"none"
"Burkina Faso","5.4 Country legislations on antimicrobial use [Country has laws or regulations that prohibits the use of antibiotics for growth promotion in the absence of risk analysis.]","unknown","Yes","none"
"Burkina Faso","5.4 Country legislations on antimicrobial use [Country has legislation on marketing of pesticides including antimicrobial pesticides, such as bactericides and fungicides used in plant production.]","unknown","Yes","none"
"Burkina Faso","6.1 Raising awareness and understanding of AMR risks and response","unknown","D - Nationwide, government-supported antimicrobial resistance awareness campaign targeting all or the majority of priority stakeholder groups, based on stakeholder analysis, utilizing targeted messaging accordingly within sectors.","none"
"Burkina Faso","6.1.1 For the level selected above, please indicate the extent of involvement of the sectors below. [Animal Health (terrestrial and aquatic)]","unknown","Some activities done in this sector","none"
"Burkina Faso","6.3 Training and professional education on AMR in the veterinary sector","unknown","C - AMR and prudent use of antimicrobial agents are covered in core curricula for graduating veterinarians and for veterinary paraprofessionals in some educational institutions.","none"
"Burkina Faso","6.5 Progress with strengthening veterinary services","unknown","B - Veterinary services assessed and plans developed to improve capacity, through a structured approach such as OIE Performance of Veterinary Services (PVS) Evaluation and PVS Gap Analysis missions.","none"
"Burkina Faso","7.2 National monitoring system for antimicrobials intended to be used in animals (terrestrial and aquatic) (sales/use)","unknown","C - Data collected and reported on total quantity of antimicrobials sold for/used in animals and their intended type of use (therapeutic or growth promotion).","none"
"Burkina Faso","7.5 (b) AMR surveillance is routinely undertaken in animals for the following categories: [Animal (terrestrial and/or aquatic) isolates linked to animal disease.]","unknown","Yes","none"
"Burkina Faso","7.5 (b) AMR surveillance is routinely undertaken in animals for the following categories: [Zoonotic pathogenic bacteria]","unknown","No","none"
"Burkina Faso","8.2 Good health, management and hygiene practices to reduce the use of antimicrobials and minimize development and transmission of AMR in animal production (terrestrial and aquatic)","unknown","B - Some activities in place to develop and promote good production practices.","none"
"Burkina Faso","9.2 Optimizing antimicrobial use in animal health (terrestrial and aquatic)","unknown","C - National legislation covers all aspects of national manufacture, import, marketing authorization, control of safety, quality and efficacy and distribution of antimicrobial products.","none"
"Burkina Faso","10. National assessment of risks for AMR transmission in the environment and pollution control. Legislation and/or regulations to prevent contamination of the environment with antimicrobials [Discharges from intensive animal (terrestrial and aquatic) production (liquid waste and manure) a) disposal into the environment][Are risk reduction actions underway-]","unknown","Yes","none"
"Algeria","Presence of porcine cysticercosis","2017","No data","Presence or absence"
"Angola","Presence of porcine cysticercosis","2017","Present","Presence or absence"
"Benin","Presence of porcine cysticercosis","2017","Present","Presence or absence"
"Botswana","Presence of porcine cysticercosis","2017","No data","Presence or absence"
"Burkina Faso","Presence of porcine cysticercosis","2017","Present","Presence or absence"
"Burundi","Presence of porcine cysticercosis","2017","Present","Presence or absence"
"Cameroon","Presence of porcine cysticercosis","2017","Present","Presence or absence"
"Cabo Verde","Presence of porcine cysticercosis","2017","Present","Presence or absence"
"Central African Republic","Presence of porcine cysticercosis","2017","Present","Presence or absence"
"Chad","Presence of porcine cysticercosis","2017","Present","Presence or absence"
"Comoros","Presence of porcine cysticercosis","2017","No data","Presence or absence"
"Congo","Presence of porcine cysticercosis","2017","Present","Presence or absence"
"Cote d'Ivoire","Presence of porcine cysticercosis","2017","Present","Presence or absence"
"Democratic Republic of the Congo","Presence of porcine cysticercosis","2017","Present","Presence or absence"
"Djibouti","Presence of porcine cysticercosis","2017","Absent","Presence or absence"
"Equatorial Guinea","Presence of porcine cysticercosis","2017","Inconsistent information","Presence or absence"
"Eritrea","Presence of porcine cysticercosis","2017","No data","Presence or absence"
"Ethiopia","Presence of porcine cysticercosis","2017","No data","Presence or absence"
"Gabon","Presence of porcine cysticercosis","2017","Present","Presence or absence"
"Gambia","Presence of porcine cysticercosis","2017","Present","Presence or absence"
"Ghana","Presence of porcine cysticercosis","2017","Present","Presence or absence"
"Guinea","Presence of porcine cysticercosis","2017","Inconsistent information","Presence or absence"
"Guinea-Bissau","Presence of porcine cysticercosis","2017","Present","Presence or absence"
"Kenya","Presence of porcine cysticercosis","2017","Present","Presence or absence"
"Lesotho","Presence of porcine cysticercosis","2017","Inconsistent information","Presence or absence"
"Liberia","Presence of porcine cysticercosis","2017","Inconsistent information","Presence or absence"
"Libya","Presence of porcine cysticercosis","2017","Absent","Presence or absence"
"Madagascar","Presence of porcine cysticercosis","2017","Present","Presence or absence"
"Malawi","Presence of porcine cysticercosis","2017","Present","Presence or absence"
"Mali","Presence of porcine cysticercosis","2017","Inconsistent information","Presence or absence"
"Mauritania","Presence of porcine cysticercosis","2017","Absent","Presence or absence"
"Mauritius","Presence of porcine cysticercosis","2017","No data","Presence or absence"
"Morocco","Presence of porcine cysticercosis","2017","Inconsistent information","Presence or absence"
"Mozambique","Presence of porcine cysticercosis","2017","Present","Presence or absence"
"Namibia","Presence of porcine cysticercosis","2017","Inconsistent information","Presence or absence"
